authors;publication;link;title;journal;doi;citations;database;forward_from;relevance;issn;jq3_ranking;abstract
A. V. Eremeev & M. A. Sakhno ;2023;https://link.springer.com/article/10.1134/S1990478923020084;Scheduling Problem for Call Center Operators;Journal of Applied and Industrial Mathematics;https://doi.org/10.1134/S1990478923020084;0;springer_article;cezik_l_ecuyer_2008;False;unknown;k.R.;Abstract The paper is devoted to solving the problem of scheduling the work of the call center staff. A model of integer linear programming is formulated, the problem is shown to be NP-hard, and a genetic algorithm is proposed that takes into account the specifics of the problem. An experimental comparison of optimal solutions obtained using the CPLEX package with solutions found by the genetic algorithm is carried out. The computational experiment has shown the practically acceptable accuracy of the solutions obtained by the genetic algorithm and its applicability to large-dimensional problems.
Abdul Samiah- Arshad Aziz- Nassar Ikram All Authors;2007;https://ieeexplore.ieee.org/abstract/document/4291195/;An Efficient Software Implementation of AES-CCM for IEEE 802.11i Wireless St;31st Annual International Computer Software and Applications Conference (COMPSAC 2007);https://doi.org/10.1109/COMPSAC.2007.62;39;ieeexplore;taylor_2007;False;unknown;k.R.;Abstract: Recent advances in wireless networks and mobile computing technologies have resulted in extensive use. During the beginning of the commercialization of the wireless networks, organizations and individuals connected without concern for the security of their system or network. Over time, it became apparent that some form of security was required to prevent outsiders from exploiting the connected resources. AES-CCMP (Advances Encryption Standard – Counter Mode with Cipher Block Chaining Mode Protocol) is a new wireless security standard that provides the highest level of security by utilizing the newest and strongest 128-bit AES encryption algorithm to encrypt and authenticate the data at the same time. Efficient software implementation of AES-CCMP makes it computationally feasible to solve all sorts of security issues in wireless networks with ease of deployment. Implementation code is designed in C and compiled in Dev-C++ 4.9.9.1. Obtained results provide better throughput and less execution time as compare to other AES software implementations.
Abhijeet Ghoshal, Alok Gupta, Mani Subramani;2012;https://aisel.aisnet.org/icis2012/proceedings/ResearchInProgress/77/;Allocating Shared Resources Optimally for Call Center Operations and Knowledge Management Activities;0. RESEARCH IN PROGRESS;no doi;2;aisel;atlason_et_al_2007;False;unknown;k.R.;Description We study a problem where manager of a call center should optimally allocate available resources (man-hours) to call handling and document creation (for knowledge management) tasks. The call center helps service engineers (performing equipment maintenance at client sites) in resolving problems that engineers face during the maintenance activities. Often when an engineer calls, he/she has to wait in a queue when all the call center professionals are busy, leading to wastage of production hours of the engineer. To avoid this situation, call center professionals also create documents addressing problems commonly faced by the engineers and make them available to the engineers through a knowledge management repository. Thus, the problem is to find an optimal allocation of call center resources so that the average waiting time in the queue is minimized. We analyze the model that reveals several important and counter-intuitive insights and provide guidelines for managers of the call center.
Abhinay Puvvala, Veerendra Kumar Rai, Rutuja Patil;2019;https://aisel.aisnet.org/acis2016/38/;Governance Policies in IT Service Support;ACIS 2016 PROCEEDINGS;no doi;1;aisel;gurvich_et_al_2008;False;unknown;k.R.;Abstract IT Service support provider, whether outsourced or kept in-house, has to abide by the Service Level Agreements (SLA) that are derived from the business needs. At the heart of IT Service support provider are the human resources that are expected to resolve tickets. It is essential that the policies, which govern the tickets’ movement amongst these resources, follow the business objectives such as service availability and cost reduction. In this study, we propose an agent based model that represents an IT Service Support system. A vital component in the model is the agent ‘Governor’, which makes policy decisions based on the by reacting to changes in the environment. The paper also studies the impact of various behavioural attributes of the Governor on the service objectives.
Achal Bassamboo, Assaf Zeevi;2009;https://pubsonline.informs.org/doi/abs/10.1287/opre.1080.0602;On a Data-Driven Method for Staffing Large Call Centers;Operations Research;https://doi.org/10.1287/opre.1080.0602;90;pubsonline;cezik_l_ecuyer_2008,feldman_et_al_2008,gurvich_et_al_2008;True;0030-364X;A+;Abstract We consider a call center model with multiple customer classes and multiple server pools. Calls arrive randomly over time, and the instantaneous arrival rates are allowed to vary both temporally and stochastically in an arbitrary manner. The objective is to minimize the sum of personnel costs and expected abandonment penalties by selecting an appropriate staffing level for each server pool. We propose a simple and computationally tractable method for solving this problem that requires as input only a few system parameters and historical call arrival data for each customer class, in this sense the method is said to be data-driven. The efficacy of the proposed method is illustrated via numerical examples. An asymptotic analysis establishes that the prescribed staffing levels achieve near-optimal performance and characterizes the magnitude of the optimality gap.
Achal Bassamboo, Ramandeep S. Randhawa, Assaf Zeevi;2010;https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1100.1203;Capacity Sizing Under Parameter Uncertainty: Safety Staffing Principles Revisited;Management Science;https://doi.org/10.1287/mnsc.1100.1203;124;pubsonline;gurvich_et_al_2008;True;0025-1909;A+;Abstract We study a capacity sizing problem in a service system that is modeled as a single-class queue with multiple servers and where customers may renege while waiting for service. A salient feature of the model is that the mean arrival rate of work is random (in practice this is a typical consequence of forecasting errors). The paper elucidates the impact of uncertainty on the nature of capacity prescriptions, and relates these to well established rules-of-thumb such as the square-root safety staffing principle. We establish a simple and intuitive relationship between the incoming load (measured in Erlangs) and the extent of uncertainty in arrival rates (measured via the coefficient of variation) that characterizes the extent to which uncertainty dominates stochastic variability or vice versa. In the former case it is shown that traditional square-root safety staffing logic is no longer valid, yet simple capacity prescriptions derived via a suitable newsvendor problem are surprisingly accurate.
Ahmadreza Moradipari- Mahnoosh Alizadeh All Authors;2019;https://ieeexplore.ieee.org/abstract/document/8619218/;Pricing Differentiated Services in an Electric Vehicle Public Charging Station Network;2018 IEEE Conference on Decision and Control (CDC);https://doi.org/10.1109/CDC.2018.8619218;8;ieeexplore;gurvich_et_al_2008;False;unknown;k.R.;Abstract: We study the decision problem faced by a Charging Network Operator (CNO) that owns a network of Electric Vehicle (EV) public charging stations and offers a menu of differentiated services to its users. Specifically, we design optimal pricing and routing schemes for the setting where users cannot directly choose which station they can charge their vehicle at. Instead, they choose their priority level and energy request amount from the menu, and then the CNO directly assigns them to a station nearby. In designing our optimal pricing-routing policies, we consider the heterogeneity of the stations locations, electricity prices, and capacity, as well as the heterogeneity of users' values of time and energy requests. We design prices that incentivize users to reveal their true preferences to the CNO, as well as optimal routing schemes to allocate them to charging stations, under the scenario where the CNO is a social welfare maximizing entity.
Ahmed Abdalrahman- Weihua Zhuang All Authors;2020;https://ieeexplore.ieee.org/abstract/document/9031405/;QoS-Aware Capacity Planning of Networked PEV Charging Infrastructure;IEEE Open Journal of Vehicular Technology;https://doi.org/10.1109/OJVT.2020.2979820;8;ieeexplore;feldman_et_al_2008;False;unknown;k.R.;Abstract: Plug-in electric vehicle (PEV) charging infrastructure is necessary to accommodate the rapid increase in PEV penetration rate. Capacity planning of PEV charging infrastructure (EVCI) must ensure not only a satisfactory charging service for PEV users but also a reliable operation of the power grid. In this paper, we propose a quality-of-service (QoS) aware capacity planning of EVCI. In particular, the proposed framework accounts for the link between the charging QoS and the power distribution network (PDN) capability. Towards this end, we firstly optimize charging facility sizes to achieve a targeted QoS level. Then, we minimize the integration cost for the PDN by attaining the most cost-effective allocation of the energy storage systems (ESSs) and/or upgrading the PDN substation and feeders. Additionally, we capture the correlation between the occupation levels of neighboring charging facilities and the blocked PEV user behaviors. We model the EVCI as a queuing network with finite capacity, and utilize the non-stationary queuing models to study the temporal variability of the PEV charging demand. A network of charging facilities is used to demonstrate the effectiveness of the proposed framework.
Ahmet Semih Ozkul , Uzay Damali, Anup Menon Nandialath & Andrew Stapleton;2019;https://www.tandfonline.com/doi/abs/10.1080/10686967.2018.1542286;Customer and employee perceptual congruence in service co-production;Quality Management Journal;https://doi.org/10.1080/10686967.2018.1542286;3;tandfonline;askin_et_al_2008;False;unknown;k.R.;Abstract Building on perceptual congruence research, this paper argues that when a customer and a front-line employee have similar perceptions of a co-produced output, employee awareness can support quality improvement efforts in service operations. The authors develop an analytical model describing perceptual congruence in a dyadic customer-employee relationship using a constant elasticity of substitution (CES) function. This model allows the authors to describe a service context with three factors: 1) customer work-allocation level (that is, percent of work expected to be done by the customer), 2) customer-employee interaction level (that is, level of communication needed), and 3) customer-employee interaction type (that is, superiority or inferiority perceived by the customer and the employee in the interaction). The authors also calculate which type of customer-employee perceptual bias alignment is needed to achieve perceptual congruence under these three contextual factors. Their model may guide service managers how to manage perceptual biases -- considering their service design characteristics to achieve perceptual congruence.
Ait Aiss, Mohamed- Burke, Laura- Dozier, Dawn;2016;https://journals.lww.com/jcejournal/Fulltext/2016/10000/A_Model_for_Staffing_and_Scheduling_at_Emergency.10.aspx;A Model for Staffing and Scheduling at Emergency Center Pharmacies;Journal of Clinical Engineering;DOI: 10.1097/JCE.0000000000000178;0;journals_lww;cezik_l_ecuyer_2008;False;unknown;k.R.;Abstract Optimization of staffing and scheduling is critical for maximizing efficiency and providing safe patient care. The Emergency Center (EC) at The University of Texas MD Anderson Cancer Center treats 60 to 80 patients per day. The EC pharmacy processes and fills medication orders for EC patients 24 hours a day and fills medication orders for other clinics as needed after other pharmacies close. To identify ways to improve staffing and scheduling, we assessed needs for pharmacists and technicians in the pharmacy at different times of day and on different days of the week. All work activities done in the pharmacy were tabulated and then evaluated using time-motion analysis to determine standard times for each activity. Data were then analyzed from multiple institutional sources to determine the frequency of each activity by hour of day for weekdays and weekends. We developed Microsoft Excel macros to calculate recommended staffing for each position under baseline conditions and with changes in patient volume and work distribution. A scheduling tool was programmed to allow comparison of current staff schedules with staffing needs. Shift start times and shift lengths can be modified in the tool to change the number of staff at each hour of the day. These changes automatically update graphs that display recommended staffing and proposed staffing. This tool allows leadership to experiment with new staffing schedules in order to determine optimal coverage. The staffing model and scheduling tool can be used by the EC pharmacy to ensure appropriate staffing, create a safer environment in the EC, and provide the best care for patients.
