Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO.1,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign.1,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,Unnamed: 73,forward_from
J,"Chen, Weiwei; Gao, Siyang; Chen, Wenjie; Du, Jianzhong",,,,,"DU, Jianzhong/0000-0002-5355-5902",,,Optimizing resource allocation in service systems via simulation: A Bayesian formulation,,,,,,,,PRODUCTION AND OPERATIONS MANAGEMENT,,,,32.0,1,,,65.0,81,,,,10.1111/poms.13825,,,,,SEP 2022,,Article,JAN 2023,2023,"The service sector has become increasingly important in today's economy. To meet the rising expectation of high-quality services, efficiently allocating resources is vital for service systems to balance service qualities with costs. In particular, this paper focuses on a class of resource allocation problems where the service-level objective and constraints are in the form of probabilistic measures. Further, process complexity and system dynamics in service systems often render their performance evaluation and optimization challenging and relying on simulation models. To this end, we propose a generalized resource allocation model with probabilistic measures, and subsequently, develop an optimal computing budget allocation (OCBA) formulation to select the optimal solution subject to random noises in simulation. The OCBA formulation minimizes the expected opportunity cost that penalizes based on the quality of the selected solution. Further, the formulation takes a Bayesian approach to consider the prior knowledge and potential performance correlations on candidate solutions. Then, the asymptotic optimality conditions of the formulation are derived, and an iterative algorithm is developed accordingly. Numerical experiments and a case study inspired by a real-world problem in a hospital emergency department demonstrate the effectiveness of the proposed algorithm for solving the resource allocation problem via simulation.",,,,,,,,,1,0,0,0,0,0,1,,,1059-1478,1937-5956,,,,,,,"Rutgers State Univ, Dept Supply Chain Management, Piscataway, NJ 08854 USACity Univ Hong Kong, Dept Adv Design & Syst Engn, Kowloon, Hong Kong, Peoples R ChinaSouthern Univ Sci & Technol, Acad Adv Interdisciplinary Studies, Shenzhen, Peoples R ChinaSouthern Univ Sci & Technol, Dept Comp Sci & Engn, Shenzhen, Peoples R ChinaFudan Univ, Sch Management, Shanghai, Peoples R China",,,,2022-09-10,WOS:000849848600001,,,atlason_et_al_2007
J,"Chan, Carri W.; Sarhangian, Vahid; Talwai, Prem; Gogia, Kriti",,,,,,,,Utilizing partial flexibility to improve emergency department flow: Theory and implementation,,,,,,,,NAVAL RESEARCH LOGISTICS,,,,69.0,8,,,1047.0,1062,,,,10.1002/nav.22073,,,,,AUG 2022,,Article,DEC 2022,2022,"Emergency departments (EDs) typically have multiple areas where patients of different acuity levels receive treatments. In practice, different areas often operate with fixed nurse staffing levels. When there are substantial imbalances in congestion among different areas, it could be beneficial to deviate from the original assignment and reassign nurses. However, reassignments typically are only feasible at the beginning of 8-12-h shifts, providing partial flexibility in adjusting staffing levels. In this work, we propose a stochastic queueing network model of patient flow in the ED and study an associated fluid control problem to guide the reassignment decision for two types of nursing staff. We propose a heuristic solution approach and investigate its performance both analytically and using simulation. Analytical results and simulation experiments suggest a significant reduction of waiting times in parameter regimes relevant to the ED setting. We further implement the staffing approach at a large ED. This pilot study highlights several challenges of implementing operational interventions in the ED, including the difficulty of establishing a clean statistical environment in such setting. Despite these challenges, we find that guiding reassignment decisions using our approach is associated with significant improvements to patient flow including a reduction in average total ED length-of-stay of 1.7 h.",,,,,,,,,0,0,0,0,0,0,0,,,0894-069X,1520-6750,,,,,,,"Columbia Business Sch, Div Decis Risk & Operat, New York, NY USAUniv Toronto, Dept Mech & Ind Engn, Toronto, ON, CanadaMIT, Operat Res Ctr, 77 Massachusetts Ave, Cambridge, MA 02139 USAWeill Cornell Med, Dept Emergency Med, New York, NY USA",,,,2022-08-23,WOS:000836202100001,,,atlason_et_al_2007
J,"Xu, Yue; Wang, Xiuli",,,,,,,,A hybrid integer programming and artificial bee colony algorithm for staff scheduling in call centers,,,,,,,,COMPUTERS & INDUSTRIAL ENGINEERING,,,,171.0,,,,,,108312,,,10.1016/j.cie.2022.108312,,,,,JUL 2022,,Article,SEP 2022,2022,"The staff scheduling problem (SSP) in call centers is defined as determining working/non-working days for a specific number of employees and their shift types in working days, considering service level requirements, some labor regulations and preferences. The SSP is often difficult to solve to optimality in practice for its complex structure. In this paper, a two-stage approach is proposed to tackle the problem, where the former generates preliminary solutions satisfying all the hard constraints, and the latter refines the solutions by fulfilling soft constraints as much as possible. The proposed approach employs artificial bee colony (ABC) algorithm as the main search framework in both stages, and appropriate neighborhood structures are designed respectively. Specifically, in the latter stage, integer programming (IP) employed under several ruin-and-recreate principles is embedded in the ABC algorithm, which helps intensify and diversify solutions. The experimental results show that the proposed approach is effective and efficient in achieving good solutions for large-scale problem in-stances. In addition, we give some guidance on how to weigh various employees' working preferences and how to balance labor costs and staff satisfaction. Finally, a case study is given to explain how the proposed model and algorithm work for a call center. This study will help call centers make appropriate decisions when planning their employees.",,,,,,,,,0,1,0,0,0,0,1,,,0360-8352,1879-0550,,,,,,,"Nanjing Univ Sci & Technol, Dept Management Sci & Engn, 200 Xiaolingwei, Nanjing 210094, Jiangsu, Peoples R China",,,,2022-08-27,WOS:000840123000002,,,atlason_et_al_2007
J,"Stolletz, Raik",,,,,,,,Optimization of time-dependent queueing systems,,,,,,,,QUEUEING SYSTEMS,,,,100.0,3-4,SI,,481.0,483,,,,10.1007/s11134-022-09759-6,,,,,MAR 2022,,Article,APR 2022,2022,,,,,,,,,,1,0,0,0,0,0,1,,,0257-0130,1572-9443,,,,,,,"Univ Mannheim, Business Sch, Mannheim, Germany",,,,2022-04-07,WOS:000773818700003,,,atlason_et_al_2007
J,"Chanpanit, Thanyawan; Udomsakdigool, Apinanthana",,,,,"Udomsakdigool, Apinanthana/0000-0002-4305-1401",,,Workforce Planning Framework for a Mobile Call Center Considering a Special Event,,,,,,,,ENERGIES,,,,15.0,4,,,,,1551,,,10.3390/en15041551,,,,,,,Article,FEB 2022,2022,"Workforce planning is essential in today's business management. If an organization can find and keep enough staff who have the right values, then they can provide high-quality service. This paper presents a workforce planning framework for selecting the best forecasting model in order to provide minimum wage and computer electricity costs for a mobile call center during the Songkran festival event, and to optimize workforce planning. The framework is constructed with four main steps: a study of a separate period; the separation of models with different data types; the simulation of models under different service levels to determine the number of customers waiting in a call center; and the evaluation of the models. The results from the proposed framework presented the best forecasting method and the optimal workforce plan. It is clear that this approach can assist in systematically selecting the best forecasting model. In addition, a workforce planner can use this framework to support workforce planning and cost evaluation in other event periods.",,,,,,,,,0,0,0,0,0,0,0,,,,1996-1073,,,,,,,"King Mongkuts Univ Technol Thonburi KMUTT, Fac Engn, Dept Prod Engn, Bangkok 10140, Thailand",,,,2022-07-21,WOS:000824089700001,,,atlason_et_al_2007
J,"Gualberto, Carolina Reis; Rodrigues, Lasara Fabricia; Morabito, Reinaldo; de Freitas Almeida, Joao Flavio",,,,"Morabito, Reinaldo/G-4866-2012","Morabito, Reinaldo/0000-0002-3948-305X; de Freitas Almeida, Joao Flavio/0000-0002-3884-217X",,,Time-dependent performance evaluation of tire repair emergency systems in the agricultural stage of sugarcane mills,,,,,,,,COMPUTERS AND ELECTRONICS IN AGRICULTURE,,,,193.0,,,,,,106701,,,10.1016/j.compag.2022.106701,,,,,JAN 2022,,Article,FEB 2022,2022,"This study presents a stationary backlog-carryover (SBC) approach to deal with hypercube queuing models with time-dependent user arrival rates for the analysis of emergency agricultural systems. It is motivated by practical situations faced by the agricultural stage of sugarcane mills. Due to the frequent changes in the locations of harvest fronts, the emergency calls for tire repair also change their locations over time, and managers should determine the appropriate number and locations of servers and their dispatch policies. This approach is applied to a case study conducted in the tire repair emergency services of a sugarcane mill. A simulation model is also developed to crosscheck the validity of this approach. This work aims at analyzing and highlighting the importance of considering time-dependent changes in arrival rates at different regions of the system. The findings suggest that this approach is flexible enough to deal with alternative dispatch policies, changes in the number of servers, and the increase in server utilization rates.",,,,,,,,,2,0,0,0,0,0,2,,,0168-1699,1872-7107,,,,,,,"Univ Fed Ouro Preto, Dept Prod Engn, Ouro Preto, MG, BrazilUniv Fed Minas Gerais, Dept Prod Engn, Belo Horizonte, MG, BrazilUniv Fed Sao Carlos, Dept Prod Engn, Sao Carlos, SP, Brazil",,,,2022-03-02,WOS:000754283100003,,,atlason_et_al_2007
J,Tien Thanh Dam; Thuy Anh Ta; Tien Mai,,,,,,,,Joint chance-constrained staffing optimization in multi-skill call centers,,,,,,,,JOURNAL OF COMBINATORIAL OPTIMIZATION,,,,44.0,1,,,354.0,378,,,,10.1007/s10878-021-00830-1,,,,,JAN 2022,,Article,AUG 2022,2022,"This paper concerns the staffing optimization problem in multi-skill call centers. The objective is to find a minimal cost staffing solution while meeting a target level for the quality of service (QoS) to customers. We consider a staffing problem in which joint chance constraints are imposed on the QoS of the day. Our joint chance-constrained formulation is more rational capturing the correlation between different call types, as compared to separate chance-constrained versions considered in previous studies. We show that, in general, the probability functions in the joint-chance constraints display S-shaped curves, and the optimal solutions should belong to the concave regions of the curves. Thus, we propose an approach combining a heuristic phase to identify solutions lying in the concave part and a simulation-based cut generation phase to create outer-approximations of the probability functions. This allows us to find good staffing solutions satisfying the joint-chance constraints by simulation and linear programming. We test our formulation and algorithm using call center examples of up to 65 call types and 89 agent groups, which shows the benefits of our joint-chance constrained formulation and the advantage of our algorithm over standard ones.",,,,,,,,,1,0,0,0,0,0,1,,,1382-6905,1573-2886,,,,,,,"Phenikaa Univ, Fac Comp Sci, ORLab, Hanoi, VietnamSingapore Management Univ, Sch Comp & Informat Syst, Singapore, Singapore",Phenikaa Univ,,,2022-01-13,WOS:000740209900001,,,atlason_et_al_2007
J,"Lu, Xueqin; Wu, Chenxin; Yang, Xuhua; Zhang, Minxia; Zheng, Yujun",,,,"Zheng, Yu-Jun/K-8581-2012",,,,Adapted water wave optimization for integrated bank customer service representative scheduling,,,,,,,,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,,,,61.0,1,SI,,320.0,335,,,,10.1080/00207543.2021.1942284,,,,,JUN 2021,,Article,JAN 2 2023,2023,"In modern banks, establishing efficient and quality customer services plays a crucial role to achieve the business success. There are a large number of customers to be served daily; however, required service resources (in particular, customer service representatives) can be rather limited. Therefore, customer service representative scheduling is a challenging problem for bank managers. In the present paper, we focus on a customer service representative scheduling problem considering the stochastic customer arrival time and service duration to minimise the total cost including two parts: (i) the loss concerning the customer waiting and (ii) cost of providing service representatives. We formulate this scheduling problem as an integer programming problem and employ an adapted water wave optimization (WWO) algorithm to solve this problem efficiently. We adapt the propagation and refraction operators of WWO according to the solution space of this problem. The results of the conducted computational experiments demonstrate that the adapted WWO algorithm outperforms the considered state-of-the-art evolutionary algorithms in solving a set of test instances.",,,,,,,,,0,0,0,0,0,0,0,,,0020-7543,1366-588X,,,,,,,"Zhejiang Univ Technol, Coll Comp Sci & Technol, Hangzhou, Peoples R ChinaHangzhou Normal Univ, Sch Informat Sci & Engn, Hangzhou, Peoples R China",,,,2021-07-07,WOS:000665706600001,,,atlason_et_al_2007
J,"Gulcan, Berkay; Eksioglu, Sandra D.; Song, Yongjia; Roni, Mohammad; Chen, Qiushi",,,,,,,,Optimization models for integrated biorefinery operations,,,,,,,,OPTIMIZATION LETTERS,,,,16.0,3,SI,,909.0,951,,,,10.1007/s11590-021-01767-4,,,,,JUN 2021,,Article,APR 2022,2022,"Variations of physical and chemical characteristics of biomass lead to an uneven flow of biomass in a biorefinery, which reduces equipment utilization and increases operational costs. Uncertainty of biomass supply and high processing costs increase the risk of investing in the US's cellulosic biofuel industry. We propose a stochastic programming model to streamline processes within a biorefinery. A chance constraint models system's reliability requirement that the reactor is operating at a high utilization rate given uncertain biomass moisture content, particle size distribution, and equipment failure. The model identifies operating conditions of equipment and inventory level to maintain a continuous flow of biomass to the reactor. The sample average approximation method approximates the chance constraint and a bisection search-based heuristic solves this approximation. A case study is developed using real-life data collected at Idaho National Laboratory's biomass processing facility. An extensive computational analysis indicates that sequencing of biomass bales based on moisture level, increasing storage capacity, and managing particle size distribution, increases utilization of the reactor and reduces operational costs.",,,,,,,,,2,0,0,0,0,0,2,,,1862-4472,1862-4480,,,,,,,"Clemson Univ, Dept Ind Engn, Clemson, SC USAUniv Arkansas, Dept Ind Engn, Fayetteville, AR 72701 USAIdaho Natl Lab, Idaho Falls, ID USAClemson Univ, Glenn Dept Civil Engn, Clemson, SC USA",,,,2021-07-01,WOS:000664404500001,,,atlason_et_al_2007
J,"Thuy Anh Ta; Chan, Wyean; Bastin, Fabian; L'Ecuyer, Pierre",,,,,"L'Ecuyer, Pierre/0000-0002-3184-0796",,,A simulation-based decomposition approach for two-stage staffing optimization in call centers under arrival rate uncertainty,,,,,,,,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,,,,293.0,3,,,966.0,979,,,,10.1016/j.ejor.2020.12.049,,,,,APR 2021,,Article,SEP 16 2021,2021,"We study a solution approach for a staffing problem in multi-skill call centers. The objective is to find a minimal-cost staffing solution while meeting a target level for the quality of service to customers. We consider a common situation in which the arrival rates are unobserved random variables for which preliminary forecasts are available in a first stage when making the initial staffing decision. In a second stage, more accurate forecasts are obtained and the staffing may have to be modified at a cost, to meet the constraints. This leads to a challenging two-stage stochastic optimization problem in which the quantities involved in the (nonlinear) constraints can only be estimated via simulation, so several independent simulations are required for each first-level scenario. We propose a solution approach that combines sample average approximation with a decomposition method. We provide numerical illustrations to show the practical efficiency of our approach. The proposed method could be adapted to several other staffing problems with uncertain demand, e.g., in retail stores, restaurants, healthcare facilities, and other types of service systems. (C) 2021 Elsevier B.V. All rights reserved.",,,,,,,,,2,0,0,0,0,0,2,,,0377-2217,1872-6860,,,,,,,"Phenikaa Univ, Fac Comp Sci, ORLab, Hanoi, VietnamUniv Montreal, Pavillon Andre Aisenstadt, Montreal, PQ H3C 3J7, CanadaUniv Montreal, CIRRELT, Pavillon Andre Aisenstadt, Montreal, PQ H3C 3J7, CanadaUniv Montreal, GERAD, Pavillon Andre Aisenstadt, Montreal, PQ H3C 3J7, Canada",Phenikaa Univ,,,2021-05-20,WOS:000643877000013,,,atlason_et_al_2007
